strain,country,location,host,date
M47/08,South Africa,Bela-Bela,bovine,2008-04-01
M39/08,South Africa,Mbombela,Buffalo calf,2008-06-01
M37/08,South Africa,Hoedspruit,Buffalo calf,2008-04-07
M85/08,South Africa,Centurion,Bovine calf,2008-05-07
M84/08,South Africa,Centurion,Bovine,2008-05-07
M80/08/2,South Africa,Centurion,Bovine,2008-05-07
M66/09,South Africa,Modderfontein,Bovine,2009-05-01
M260/09,South Africa,Upington,Bovine,2009-04-01
M259/09,South Africa,Upington,Bovine,2009-04-01
M247/09,South Africa,Upington,Ovine,2009-04-01
M127/09,South Africa,Groenhof,Bovine,2009-03-01
M33/10,South Africa,Middelburg,Ovine,2010-07-15
M29/10,South Africa,Pretoria,Bovine,2010-07-25
M25/10,South Africa,Bultfontein,Ovine,2010-03-29
M12/10,South Africa,Bultfontein,Ovine,2010-03-29
M19/10,South Africa,Heldefontein,Ovine,2010-02-18
M16/10,South Africa,Bultfontein,Ovine,2010-03-29
M06/10,South Africa,Sterkfontein,Bovine,2010-03-26
M21/10,South Africa,Bloemfontein,Ovine,2010-03-28
Namibia_2010,Namibia,Karasburg,ovine,2010-07-30
KEN/Bar-032/07,Kenya,Baringo,Homo sapiens,2007-02-06
KEN/Bar-Msq/187-09/07,Kenya,Baringo,mosquito,2007-02-13
KEN/Bar-Msq,Kenya,Kiserian,mosquito,2007-02-13
KEN/KLF-Msq/091/07,Kenya,Kilifi,mosquito,2007-01-13
KEN/KLF-Msq,Kenya,Kilifi,mosquito,2007-01-08
KEN/Gar-Msq/131B-04/06,Kenya,Garissa,mosquito,2006-12-29
KEN/Gar-Msq,Kenya,Garissa,mosquito,2006-12-29
TAN/Dod-002/07,Tanzania,Dodoma,Homo sapiens,2007-03-01
TAN/Tan-001/07,Tanzania,Tanga,Homo sapiens,2007-02-10
KEN/Bar-035/07,Kenya,Kiserian,Homo sapiens,2007-02-07
KEN/Mal-032/07,Kenya,Malindi,Homo sapiens,2007-01-07
KEN/Kil-006/07,Kenya,Kilifi,Homo sapiens,2007-01-03
KEN/Gar-008/06,Kenya,Garissa,Homo sapiens,2006-12-25
KEN/Gar-004/06,Kenya,Garissa,Homo sapiens,2006-12-24
KEN/Gar-Msq131B-04/06,Kenya,Garissa,mosquito,2006-12-29
KEN/KLF-Msq091/07,Kenya,Kilifi,mosquito,2007-01-13
KEN06-ELH131B08,Kenya,Garissa,mosquito,2006-12-21
KEN07-KLF112,Kenya,Kilifi,mosquito,2007-01-13
KEN07-KUR340,Kenya,Garissa,mosquito,2007-01-12
Kenya 83 (21445),Kenya,Ruiru,Aedes macintoshi,1983-12-05
Kenya 9800523,Kenya,Garissa,human sera,1998-01-04
2007000324,Tanzania,Dodoma,Homo sapiens,2007-02-08
2007000323,Tanzania,Dodoma,Homo sapiens,2007-02-08
2007000253,Kenya,Garissa,mosquito,2006-12-29
2007000234,Kenya,Garissa,mosquito,2007-01-01
2007000260,Kenya,Garissa,mosquito,2006-12-31
Namibia_2011,Namibia,Oshikoto,springbok,2011-07-30
201601287,Uganda,Kabale,Homo sapiens,2016-03-15
201601292,Uganda,Kamuganguzi,Homo sapiens,2016-03-15
201601502,Uganda,Kabale,Homo sapiens,2016-03-15
Saudi 2000-10911,Saudi Arabia,Jizan,human sera,2000-09-10
SAUDI 200010901,Saudi Arabia,Jizan,human sera,2000-09-13
SA01-1322,Saudi Arabia,Aseer,Aedes vexans arabiensis,2001-12-08
Kenya-128b-15,Kenya,Garissa,Aedes ochraceus,2006-12-15
Lunyo,Uganda,Lunyo,mosquito,1955-11-18
CAR-R1622,Central African Republic,Bangui,human sera,1985-12-10
CAR R1662,Central African Republic,Bangui,human sera,1985-12-10
HB1752,Central African Republic,Bangui,Homo sapiens,1986-12-24
CAR R1752,Central African Republic,Bangui,Homo sapiens,1986-12-24
ZINGA J83 R1,Central African Republic,Nana Mambere,human sera,1969-01-01
73HB1230,Central African Republic,Ombella Mpoko,human sera,1973-11-12
Hv-B375,Central African Republic,Mbaiki,human sera,1985-10-02
Zinga,Central African Republic,Bangui,human sera,1969-10-02
ArB1976,Central African Republic,Bangui,human sera,1969-10-02
73HB1449,Central African Republic,Ombella Mpoko,human sera,1973-12-10
74HB59,Central African Republic,Ombella Mpoko,human sera,1974-01-09
SA-51 (Van Wyck),South Africa,Boshof,ovine,1951-04-09
M1955,South Africa,Free State,mosquito,1955-02-09
